from_student_id,from_name,from_tribe,from_party,from_college,from_department,from_year,to_student_id,to_name,to_tribe,to_party,to_college,to_department,to_year,strength,relationship_type
S001,Ahmed,Kusasi,TESCON,Engineering,IT,3,S002,Fatima,Mamprusi,TEIN,Business,Finance,2,4,Close Friend
S001,Ahmed,Kusasi,TESCON,Engineering,IT,3,S003,Mohammed,Kusasi,TESCON,Engineering,IT,3,5,Best Friend
S002,Fatima,Mamprusi,TEIN,Business,Finance,2,S004,Sara,Dagomba,TESCON,Education,English,1,3,Friend
S003,Mohammed,Kusasi,TESCON,Engineering,IT,3,S005,Khalid,Mamprusi,TESCON,Business,Marketing,4,2,Acquaintance
S004,Sara,Dagomba,TESCON,Education,English,1,S001,Ahmed,Kusasi,TESCON,Engineering,IT,3,4,Close Friend
S005,Khalid,Mamprusi,TESCON,Business,Marketing,4,S002,Fatima,Mamprusi,TEIN,Business,Finance,2,3,Friend
S006,Aisha,Kusasi,TEIN,Engineering,Civil,2,S007,Yusuf,Dagomba,TESCON,Engineering,Mechanical,3,5,Best Friend
S007,Yusuf,Dagomba,TESCON,Engineering,Mechanical,3,S008,Zainab,Kusasi,TEIN,Business,Accounting,2,3,Friend
S008,Zainab,Kusasi,TEIN,Business,Accounting,2,S009,Kofi,Mamprusi,TESCON,Engineering,IT,1,4,Close Friend
S009,Kofi,Mamprusi,TESCON,Engineering,IT,1,S010,Comfort,Dagomba,TEIN,Education,History,4,2,Acquaintance
S010,Comfort,Dagomba,TEIN,Education,History,4,S006,Aisha,Kusasi,TEIN,Engineering,Civil,2,4,Close Friend
S001,Ahmed,Kusasi,TESCON,Engineering,IT,3,S006,Aisha,Kusasi,TEIN,Engineering,Civil,2,3,Friend
S002,Fatima,Mamprusi,TEIN,Business,Finance,2,S007,Yusuf,Dagomba,TESCON,Engineering,Mechanical,3,2,Acquaintance
S003,Mohammed,Kusasi,TESCON,Engineering,IT,3,S009,Kofi,Mamprusi,TESCON,Engineering,IT,1,4,Close Friend
S004,Sara,Dagomba,TESCON,Education,English,1,S008,Zainab,Kusasi,TEIN,Business,Accounting,2,3,Friend
S005,Khalid,Mamprusi,TESCON,Business,Marketing,4,S010,Comfort,Dagomba,TEIN,Education,History,4,2,Acquaintance
S011,Ama,Mamprusi,TESCON,Education,Mathematics,2,S012,Benjamin,Kusasi,TEIN,Engineering,IT,3,5,Best Friend
S012,Benjamin,Kusasi,TEIN,Engineering,IT,3,S013,Grace,Dagomba,TESCON,Business,Finance,1,4,Close Friend
S013,Grace,Dagomba,TESCON,Business,Finance,1,S014,David,Mamprusi,TESCON,Engineering,Mechanical,4,3,Friend
S014,David,Mamprusi,TESCON,Engineering,Mechanical,4,S011,Ama,Mamprusi,TESCON,Education,Mathematics,2,3,Friend
